OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength,centroid_lat,centroid_lon,nearest_facility_id,nearest_facility_name,nearest_facility_distance_km,nearest_facility_distance_miles,count_within_1km,count_within_5km,count_within_10km,count_within_15km,count_within_25km,count_within_1mi,count_within_3mi,count_within_5mi,count_within_10mi,count_within_15mi
6239,403500,4035.00,52941374.3708697,37462.38342923626,34.062546248009724,-117.85187617118085,711,HERITAGE RECOVERY CENTER,1.506,0.936,0,1,1,2,4,1,1,1,2,4
6240,403601,4036.01,52968675.99487139,38262.68512759651,34.07588527858047,-117.86101119361913,711,HERITAGE RECOVERY CENTER,0.462,0.287,1,1,1,2,4,1,1,1,3,4
6241,403702,4037.02,18428228.78254933,18852.855943260132,34.09076169051923,-117.85881347419145,711,HERITAGE RECOVERY CENTER,2.105,1.308,0,1,1,2,4,0,1,1,2,4
6242,403703,4037.03,23245721.558248628,22658.261532740868,34.092947864122834,-117.84644732438674,711,HERITAGE RECOVERY CENTER,2.782,1.729,0,1,1,2,4,0,1,1,2,4
6243,403721,4037.21,20440719.99572416,20616.631529805043,34.09588718524265,-117.87744130919981,711,HERITAGE RECOVERY CENTER,2.936,1.824,0,1,1,3,4,0,1,1,3,4
6244,403722,4037.22,19410076.91845461,18585.342322014974,34.08754787633194,-117.87225562041088,711,HERITAGE RECOVERY CENTER,1.893,1.176,0,1,1,2,4,0,1,1,3,4
6245,403801,4038.01,20265004.04365349,21698.439231830256,34.10292005919242,-117.86790972634134,711,HERITAGE RECOVERY CENTER,3.441,2.138,0,1,1,2,4,0,1,1,3,4
6246,403802,4038.02,14034817.95332142,16185.971803567092,34.103084214311025,-117.84635889269153,711,HERITAGE RECOVERY CENTER,3.773,2.344,0,1,1,2,4,0,1,1,2,4
6247,403901,4039.01,13539511.040981993,16955.158446298185,34.1215134608399,-117.87325936507283,711,HERITAGE RECOVERY CENTER,5.558,3.454,0,0,1,2,4,0,0,1,3,4
6248,403902,4039.02,22743652.423854157,18644.04374692794,34.112088321638055,-117.87249247982726,711,HERITAGE RECOVERY CENTER,4.514,2.805,0,1,1,2,4,0,1,1,3,4
6249,404000,4040.00,14222194.174013756,16106.719413369327,34.11410335750868,-117.88581952180562,711,HERITAGE RECOVERY CENTER,5.098,3.168,0,0,1,3,4,0,0,1,3,4
6250,404100,4041.00,14517882.802371131,16224.373794668745,34.1142646118386,-117.89470463404601,711,HERITAGE RECOVERY CENTER,5.497,3.415,0,0,2,3,4,0,0,1,3,4
6251,404201,4042.01,9983439.762999576,13490.394470957062,34.12659220734417,-117.89532385329684,711,HERITAGE RECOVERY CENTER,6.726,4.18,0,0,1,3,4,0,0,1,3,4
6252,404203,4042.03,6941534.719922836,10591.143477867898,34.125061683111596,-117.88575390281652,711,HERITAGE RECOVERY CENTER,6.229,3.871,0,0,1,3,4,0,0,1,3,4
6253,404301,4043.01,11920269.578910327,13965.59288117767,34.12753149433712,-117.9041227652096,711,HERITAGE RECOVERY CENTER,7.207,4.479,0,0,2,3,4,0,0,1,3,4
6254,404302,4043.02,6627701.893340943,10366.200522364734,34.11790092535464,-117.90347618528682,711,HERITAGE RECOVERY CENTER,6.283,3.904,0,0,2,3,4,0,0,1,3,4
6255,404401,4044.01,15612529.536026321,20034.49754044823,34.12923271869659,-117.91619516067935,711,HERITAGE RECOVERY CENTER,7.993,4.967,0,0,2,3,5,0,0,1,3,4
6256,404402,4044.02,36231963.23124892,28016.45454239956,34.12030559248568,-117.92285391922184,421,EGGLESTON SUBSTANCE ABUSE AND EDUCATION PROGRAM,7.606,4.726,0,0,2,3,5,0,0,2,3,5
6257,404501,4045.01,8666861.291659104,14072.777095031766,34.11093001795927,-117.92204333799543,711,HERITAGE RECOVERY CENTER,6.911,4.294,0,0,2,3,5,0,0,2,3,5
6258,404503,4045.03,7069231.06643725,10733.029441490731,34.110603153921105,-117.91208447222658,711,HERITAGE RECOVERY CENTER,6.195,3.849,0,0,2,3,5,0,0,2,3,5
